"unique_id","exp_field","row","pot_number","replica","Accession","Synonym"
"0F16NSF2CN01F01M001","CN01",1,1,1,"BGV008098","LA2278"
"0F16NSF2CN01F01M002","CN01",1,2,2,"BGV008098","LA2278"
"0F16NSF2CN01F01M003","CN01",1,3,3,"BGV008098","LA2278"
"0F16NSF2CN01F01M004","CN01",1,4,4,"BGV008098","LA2278"
"0F16NSF2CN01F01M005","CN01",1,5,5,"BGV008098","LA2278"
"0F16NSF2CN01F01M006","CN01",1,6,6,"BGV008098","LA2278"
"0F16NSF2CN01F01M007","CN01",1,7,7,"BGV008098","LA2278"
"0F16NSF2CN01F01M008","CN01",1,8,8,"BGV008098","LA2278"
"0F16NSF2CN01F01M009","CN01",1,9,9,"BGV008098","LA2278"
"0F16NSF2CN01F01M010","CN01",1,10,10,"BGV008098","LA2278"
"0F16NSF2CN01F01M011","CN01",1,11,11,"BGV008098","LA2278"
"0F16NSF2CN01F01M012","CN01",1,12,12,"BGV008098","LA2278"
"0F16NSF2CN01F01M013","CN01",1,13,13,"BGV008098","LA2278"
"0F16NSF2CN01F01M014","CN01",1,14,14,"BGV008098","LA2278"
"0F16NSF2CN01F01M015","CN01",1,15,15,"BGV008098","LA2278"
"0F16NSF2CN01F01M016","CN01",1,16,16,"BGV008098","LA2278"
"0F16NSF2CN01F01M017","CN01",1,17,17,"BGV008098","LA2278"
"0F16NSF2CN01F01M018","CN01",1,18,18,"BGV008098","LA2278"
"0F16NSF2CN01F01M019","CN01",1,19,19,"BGV008098","LA2278"
"0F16NSF2CN01F01M020","CN01",1,20,20,"BGV008098","LA2278"
"0F16NSF2CN01F01M021","CN01",1,21,21,"BGV008098","LA2278"
"0F16NSF2CN01F01M022","CN01",1,22,1,"BGV007109","ECU1349"
"0F16NSF2CN01F01M023","CN01",1,23,2,"BGV007109","ECU1349"
"0F16NSF2CN01F01M024","CN01",1,24,3,"BGV007109","ECU1349"
"0F16NSF2CN01F01M025","CN01",1,25,4,"BGV007109","ECU1349"
"0F16NSF2CN01F01M026","CN01",1,26,5,"BGV007109","ECU1349"
"0F16NSF2CN01F01M027","CN01",1,27,6,"BGV007109","ECU1349"
"0F16NSF2CN01F01M028","CN01",1,28,7,"BGV007109","ECU1349"
"0F16NSF2CN01F01M029","CN01",1,29,8,"BGV007109","ECU1349"
"0F16NSF2CN01F01M030","CN01",1,30,9,"BGV007109","ECU1349"
"0F16NSF2CN01F01M031","CN01",1,31,10,"BGV007109","ECU1349"
"0F16NSF2CN01F01M032","CN01",1,32,11,"BGV007109","ECU1349"
"0F16NSF2CN01F01M033","CN01",1,33,12,"BGV007109","ECU1349"
"0F16NSF2CN01F01M034","CN01",1,34,13,"BGV007109","ECU1349"
"0F16NSF2CN01F01M035","CN01",1,35,14,"BGV007109","ECU1349"
"0F16NSF2CN01F01M036","CN01",1,36,15,"BGV007109","ECU1349"
"0F16NSF2CN01F01M037","CN01",1,37,16,"BGV007109","ECU1349"
"0F16NSF2CN01F01M038","CN01",1,38,17,"BGV007109","ECU1349"
"0F16NSF2CN01F01M039","CN01",1,39,18,"BGV007109","ECU1349"
"0F16NSF2CN01F01M040","CN01",1,40,19,"BGV007109","ECU1349"
"0F16NSF2CN01F01M041","CN01",1,41,20,"BGV007109","ECU1349"
"0F16NSF2CN01F01M042","CN01",1,42,21,"BGV007109","ECU1349"
"0F16NSF2CN01F02M043","CN01",2,43,1,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M044","CN01",2,44,2,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M045","CN01",2,45,3,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M046","CN01",2,46,4,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M047","CN01",2,47,5,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M048","CN01",2,48,6,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M049","CN01",2,49,7,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M050","CN01",2,50,8,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M051","CN01",2,51,9,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M052","CN01",2,52,10,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M053","CN01",2,53,11,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M054","CN01",2,54,12,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M055","CN01",2,55,13,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M056","CN01",2,56,14,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M057","CN01",2,57,15,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M058","CN01",2,58,16,"UNKNOWN","MONEY M"
"0F16NSF2CN01F02M059","CN01",2,59,17,"UNKNOWN","MONEY M"
